n=10 joint (b,rho) table; rows=b, min rho per b, count at min, exemplar
b= 1 total=           2 minrho=10 count@min=         2 ex=[0,1,2,3,4,5,6,7,8,9]
b= 2 total=          46 minrho=10 count@min=        46 ex=[1,0,2,3,4,5,6,7,8,9]
b= 3 total=         748 minrho= 8 count@min=        16 ex=[0,1,2,3,4,7,6,5,9,8]
b= 4 total=        7900 minrho= 8 count@min=       120 ex=[1,0,2,3,4,7,6,5,9,8]
b= 5 total=       54304 minrho= 8 count@min=       216 ex=[0,2,1,3,4,7,6,5,9,8]
b= 6 total=      236968 minrho= 8 count@min=       124 ex=[0,3,1,2,4,7,6,5,9,8]
b= 7 total=      650644 minrho= 8 count@min=        20 ex=[1,3,0,2,4,7,6,5,9,8]
b= 8 total=     1108612 minrho= 9 count@min=        16 ex=[1,0,4,6,2,7,3,5,8,9]
b= 9 total=     1090270 minrho=10 count@min=   1090270 ex=[0,3,1,2,4,6,8,5,7,9]
b=10 total=      479306 minrho=10 count@min=    479306 ex=[1,7,0,2,4,6,3,8,5,9]
rho_min(10) = 8
HIST b rho count
H 1 10 2
H 2 10 46
H 3 8 16
H 3 9 8
H 3 10 724
H 4 8 120
H 4 9 340
H 4 10 7440
H 5 8 216
H 5 9 1788
H 5 10 52300
H 6 8 124
H 6 9 2504
H 6 10 234340
H 7 8 20
H 7 9 672
H 7 10 649952
H 8 9 16
H 8 10 1108596
H 9 10 1090270
H 10 10 479306
