n=12 joint (b,rho) table; rows=b, min rho per b, count at min, exemplar
b= 1 total=           2 minrho=12 count@min=         2 ex=[0,1,2,3,4,5,6,7,8,9,10,11]
b= 2 total=          58 minrho=12 count@min=        58 ex=[0,1,2,3,4,5,6,7,8,9,11,10]
b= 3 total=        1266 minrho=10 count@min=        36 ex=[0,1,2,3,4,5,6,9,8,7,11,10]
b= 4 total=       19458 minrho= 9 count@min=         2 ex=[0,1,2,5,4,3,8,7,6,9,10,11]
b= 5 total=      214740 minrho= 8 count@min=         8 ex=[0,1,2,5,4,3,6,9,8,7,11,10]
b= 6 total=     1674468 minrho= 8 count@min=         8 ex=[1,0,2,5,4,3,6,9,8,7,11,10]
b= 7 total=     9086628 minrho=10 count@min=     18280 ex=[1,3,0,2,4,5,6,9,8,7,11,10]
b= 8 total=    33940644 minrho=10 count@min=      9776 ex=[1,3,0,2,4,5,8,7,6,9,11,10]
b= 9 total=    86059242 minrho=10 count@min=      1812 ex=[0,3,1,2,4,6,8,7,9,5,11,10]
b=10 total=   142852450 minrho=10 count@min=        68 ex=[1,3,0,2,4,6,8,7,9,5,11,10]
b=11 total=   141373610 minrho=11 count@min=        32 ex=[1,3,0,2,6,8,4,9,5,7,10,11]
b=12 total=    63779034 minrho=12 count@min=  63779034 ex=[1,3,0,2,4,6,8,5,9,11,7,10]
rho_min(12) = 8
HIST b rho count
H 1 12 2
H 2 12 58
H 3 10 36
H 3 11 12
H 3 12 1218
H 4 9 2
H 4 10 668
H 4 11 1078
H 4 12 17710
H 5 8 8
H 5 9 20
H 5 10 4548
H 5 11 17336
H 5 12 192828
H 6 8 8
H 6 9 48
H 6 10 12946
H 6 11 113684
H 6 12 1547782
H 7 10 18280
H 7 11 339364
H 7 12 8728984
H 8 10 9776
H 8 11 451610
H 8 12 33479258
H 9 10 1812
H 9 11 189628
H 9 12 85867802
H 10 10 68
H 10 11 17660
H 10 12 142834722
H 11 11 32
H 11 12 141373578
H 12 12 63779034
