n=7 joint (b,rho) table; rows=b, min rho per b, count at min, exemplar
b= 1 total=           2 minrho= 7 count@min=         2 ex=[0,1,2,3,4,5,6]
b= 2 total=          28 minrho= 7 count@min=        28 ex=[0,1,2,3,4,6,5]
b= 3 total=         226 minrho= 5 count@min=         2 ex=[1,0,4,3,2,6,5]
b= 4 total=         888 minrho= 7 count@min=       888 ex=[0,2,1,3,4,6,5]
b= 5 total=        1670 minrho= 7 count@min=      1670 ex=[1,3,0,2,4,5,6]
b= 6 total=        1580 minrho= 7 count@min=      1580 ex=[1,3,0,2,4,6,5]
b= 7 total=         646 minrho= 7 count@min=       646 ex=[1,4,0,2,5,3,6]
rho_min(7) = 5
HIST b rho count
H 1 7 2
H 2 7 28
H 3 5 2
H 3 6 6
H 3 7 218
H 4 7 888
H 5 7 1670
H 6 7 1580
H 7 7 646
