n=9 joint (b,rho) table; rows=b, min rho per b, count at min, exemplar
b= 1 total=           2 minrho= 9 count@min=         2 ex=[0,1,2,3,4,5,6,7,8]
b= 2 total=          40 minrho= 9 count@min=        40 ex=[0,1,2,3,4,5,6,8,7]
b= 3 total=         540 minrho= 7 count@min=        12 ex=[0,1,2,3,6,5,4,8,7]
b= 4 total=        4448 minrho= 7 count@min=        40 ex=[1,0,2,3,6,5,4,8,7]
b= 5 total=       22120 minrho= 7 count@min=        16 ex=[1,0,2,5,4,3,6,8,7]
b= 6 total=       64968 minrho= 7 count@min=         4 ex=[1,0,3,5,4,6,2,8,7]
b= 7 total=      112820 minrho= 9 count@min=    112820 ex=[0,3,1,2,4,6,7,5,8]
b= 8 total=      110320 minrho= 9 count@min=    110320 ex=[0,3,1,2,4,6,8,5,7]
b= 9 total=       47622 minrho= 9 count@min=     47622 ex=[1,3,0,2,4,6,8,5,7]
rho_min(9) = 7
HIST b rho count
H 1 9 2
H 2 9 40
H 3 7 12
H 3 8 14
H 3 9 514
H 4 7 40
H 4 8 228
H 4 9 4180
H 5 7 16
H 5 8 402
H 5 9 21702
H 6 7 4
H 6 8 180
H 6 9 64784
H 7 9 112820
H 8 9 110320
H 9 9 47622
